SampleID,SampleType,Species,Substrate,Age,BandID,CollectionSite,CollectionState,CollectionArea,NestID,SampleProcessingStartDate,SampleMassGrams,FiberCount,FibersPerGramSample,MethodsNotes,SyntheticPerGramSample,NaturalPerGramSample,DyedNaturalPerGramSample,SemiSyntheticPerGramSample,SyntheticCount,NaturalCount,DyedNaturalCount,SemiSyntheticCount
F071,fecal,COTE,"cloth, skin",AHY,,Monomoy NWR,MA,,,16-Dec,0.0012,8,6666.666667,"c, the two particles are these gray particles that I suspect are contamination",1215.686267,2078.4314,3294.117667,78.4314,1.45882352,2.49411768,3.9529412,0.09411768
F006,fecal,COTE,skin,AHY,,Seavey,NH,ROST area 9,,30-Jan,0.0021,12,5714.285714,,1042.0168,1781.512628,2823.529428,67.22691428,2.18823528,3.74117652,5.9294118,0.14117652
F057,fecal,ROST,skin,HY,AC5,Seavey,NH,,,10-Dec,0.0014,6,4285.714286,c,781.5126001,1336.134472,2117.647072,50.42018572,1.09411764,1.87058826,2.9647059,0.07058826
F163,fecal,COTE,cloth,AHY,,Barnegat Bay,NJ,Pettit Island,,7-Jan,0.0055,17,3090.909091,c,563.63636,963.6363764,1527.272736,36.36364909,3.09999998,5.30000007,8.40000005,0.20000007
F102,fecal,ROST,cloth,HY,,Seavey,NH,ROST area 9,R-04,30-Jan,0.0013,4,3076.923077,,561.0859692,959.2760308,1520.362,36.19910769,0.72941176,1.24705884,1.9764706,0.04705884
F074,fecal,COTE,"cloth, skin",AHY,,Monomoy NWR,MA,,,16-Dec,0.0039,8,2051.282051,nc,374.0573128,639.5173538,1013.574667,24.13273846,1.45882352,2.49411768,3.9529412,0.09411768
F161,fecal,COTE,skin,AHY,,Barnegat Bay,NJ,Cedar Bonnet E,,7-Jan,0.0078,15,1923.076923,"c, the potential gray particle is that gray stuff",350.6787308,599.5475192,950.22625,22.62444231,2.7352941,4.67647065,7.41176475,0.17647065
F165,fecal,COTE,skin,AHY,,Barnegat Bay,NJ,Little Sedge,,7-Jan,0.0093,12,1290.322581,"c, the two fbrx are these weird spirally things...similar to the fcl with the star on it",235.2941162,402.2770453,637.5711615,15.18027097,2.18823528,3.74117652,5.9294118,0.14117652
F077,fecal,COTE,skin,AHY,,Monomoy NWR,MA,,,7-Jan,0.015,19,1266.666667,nc,230.9803907,394.9019661,625.8823568,14.901966,3.46470586,5.92352949,9.38823535,0.22352949
F037,fecal,COTE,metal,HY,,Seavey,NH,plot 8,,17-Nov,0.0093,10,1075.268817,C,196.0784301,335.2308709,531.309301,12.6502258,1.8235294,3.1176471,4.9411765,0.1176471
F067,fecal,COTE,skin,AHY,,Monomoy NWR,MA,,,16-Dec,0.0051,5,980.3921569,"no boil step, c",178.7773922,305.6516765,484.4290686,11.53402941,0.9117647,1.55882355,2.47058825,0.05882355
F086,fecal,COTE,cloth,AHY,,Monomoy NWR,MA,,,7-Jan,0.0101,9,891.0891089,c,162.4927188,277.8101376,440.3028564,10.48340495,1.64117646,2.80588239,4.44705885,0.10588239
F103,fecal,ROST,cloth,HY,AC2,Seavey,NH,ROST area 9,,30-Jan,0.0079,7,886.0759494,,161.5785544,276.2472114,437.8257658,10.42442658,1.27647058,2.18235297,3.45882355,0.08235297
F044,fecal,ROST,cloth,HY,JL1,Seavey,NH,,,25-Nov,0.0091,8,879.1208791,C,160.3102769,274.0788659,434.3891428,10.3426022,1.45882352,2.49411768,3.9529412,0.09411768
F076,fecal,COTE,cloth,AHY,,Monomoy NWR,MA,,,16-Dec,0.0149,13,872.4832215,"c, 1p is that gray shit (same as in F071)",159.0998805,272.0094785,431.1093591,10.26451208,2.37058822,4.05294123,6.42352945,0.15294123
F105,fecal,ROST,cloth,HY,AC3,Seavey,NH,ROST area 9,R-09,30-Jan,0.0276,23,833.3333333,,151.9607833,259.803925,411.7647083,9.803925,4.19411762,7.17058833,11.36470595,0.27058833
